Google Category,Loopla Category
,
,
/Adult,/Other/Other
,
,
/Hobbies & Leisure,/Recreation/Hobbies
/Hobbies & Leisure/Clubs & Organizations,"/Recreation/Organizations, /Recreation/Clubs"
/Hobbies & Leisure/Clubs & Organizations/Youth Organizations & Resources,/Recreation/Organizations
/Hobbies & Leisure/Crafts,/Recreation/Crafts
/Hobbies & Leisure/Crafts/Fiber & Textile Arts,/Recreation/Crafts
/Hobbies & Leisure/Merit Prizes & Contests,/Recreation/Contests
/Hobbies & Leisure/Outdoors,/Recreation/Outdoors
/Hobbies & Leisure/Outdoors/Fishing,/Recreation/Fishing
/Hobbies & Leisure/Outdoors/Hiking & Camping,"/Recreation/Hiking, /Recreation/Camping"
/Hobbies & Leisure/Paintball,/Recreation/Paintball
/Hobbies & Leisure/Radio Control & Modeling,/Recreation/Hobbies
/Hobbies & Leisure/Radio Control & Modeling/Model Trains & Railroads,/Recreation/Hobbies
/Hobbies & Leisure/Special Occasions,/Events
/Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events,"/Events/Holidays, /Events/Seasonal"
/Hobbies & Leisure/Special Occasions/Weddings,/Events/Weddings
/Hobbies & Leisure/Water Activities,/Recreation/Water Activities
/Hobbies & Leisure/Water Activities/Boating,/Recreation/Boating
/Hobbies & Leisure/Water Activities/Surf & Swim,"/Recreation/Swimming, /Recreation/Surfing"
,
,
/Arts & Entertainment,/Recreation
/Arts & Entertainment/Celebrities & Entertainment News,/Other/News
/Arts & Entertainment/Comics & Animation,"/Recreation/Comics, /Recreation/Animation"
/Arts & Entertainment/Comics & Animation/Anime & Manga,/Recreation/Anime & Manga
/Arts & Entertainment/Comics & Animation/Cartoons,/Recreation/Cartoons
/Arts & Entertainment/Comics & Animation/Comics,/Recreation/Comics
/Arts & Entertainment/Entertainment Industry,/Work/Entertainment
/Arts & Entertainment/Entertainment Industry/Film & TV Industry,/Work/Film & TV
/Arts & Entertainment/Entertainment Industry/Recording Industry,/Work/Music
/Arts & Entertainment/Events & Listings,/Events
"/Arts & Entertainment/Events & Listings/Bars, Clubs & Nightlife","/Events, /Events/Music"
/Arts & Entertainment/Events & Listings/Concerts & Music Festivals,/Events/Music
/Arts & Entertainment/Events & Listings/Expos & Conventions,/Events
/Arts & Entertainment/Events & Listings/Film Festivals,/Events/Movies
/Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes,/Events/Movies
/Arts & Entertainment/Fun & Trivia,/Recreation/Trivia
/Arts & Entertainment/Fun & Trivia/Flash-Based Entertainment,/Recreation/Trivia
/Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys,/Recreation/Trivia
/Arts & Entertainment/Humor,/Recreation/Humor
/Arts & Entertainment/Humor/Funny Pictures & Videos,/Recreation/Humor
/Arts & Entertainment/Humor/Political Humor,/Recreation/Humor
/Arts & Entertainment/Movies,/Recreation/Movies
/Arts & Entertainment/Music & Audio,/Recreation/Music
/Arts & Entertainment/Music & Audio/CD & Audio Shopping,/Products/CDs
/Arts & Entertainment/Music & Audio/Classical Music,/Recreation/Classical Music
/Arts & Entertainment/Music & Audio/Country Music,/Recreation/Country Music
/Arts & Entertainment/Music & Audio/Dance & Electronic Music,/Recreation/Dance Music
/Arts & Entertainment/Music & Audio/Experimental & Industrial Music,/Recreation/Experimental Music
/Arts & Entertainment/Music & Audio/Jazz & Blues,/Recreation/Jazz & Blues
/Arts & Entertainment/Music & Audio/Music Education & Instruction,/Education/Music
/Arts & Entertainment/Music & Audio/Music Equipment & Technology,/Products/Music Equipment
/Arts & Entertainment/Music & Audio/Music Reference,/Recreation/Music
/Arts & Entertainment/Music & Audio/Music Streams & Downloads,/Products/Music Streaming
/Arts & Entertainment/Music & Audio/Music Videos,/Recreation/Music Videos
/Arts & Entertainment/Music & Audio/Pop Music,/Recreation/Pop Music
/Arts & Entertainment/Music & Audio/Radio,/Recreation/Radio
/Arts & Entertainment/Music & Audio/Religious Music,/Recreation/Religious Music
/Arts & Entertainment/Music & Audio/Rock Music,/Recreation/Rock Music
/Arts & Entertainment/Music & Audio/Soundtracks,/Recreation/Soundtracks
/Arts & Entertainment/Music & Audio/Urban & Hip-Hop,/Recreation/Hip-Hop
/Arts & Entertainment/Music & Audio/World Music,/Recreation/World Music
/Arts & Entertainment/Offbeat,/Recreation/Offbeat
/Arts & Entertainment/Offbeat/Occult & Paranormal,/Recreation/Offbeat
/Arts & Entertainment/Online Media,/Recreation/Online Media
/Arts & Entertainment/Online Media/Online Image Galleries,/Recreation/Online Media
/Arts & Entertainment/Performing Arts,/Recreation/Performing Arts
/Arts & Entertainment/Performing Arts/Acting & Theater,"/Recreation/Theatre, /Recreation/Acting"
/Arts & Entertainment/Performing Arts/Circus,/Recreation/Circus
/Arts & Entertainment/Performing Arts/Dance,/Recreation/Dance
/Arts & Entertainment/Performing Arts/Magic,/Recreation/Magic
/Arts & Entertainment/Performing Arts/Opera,/Recreation/Opera
/Arts & Entertainment/TV & Video,/Recreation/TV
/Arts & Entertainment/TV & Video/Online Video,/Recreation/Online Video
/Arts & Entertainment/TV & Video/TV Commercials,/Recreation/TV
/Arts & Entertainment/TV & Video/TV Shows & Programs,/Recreation/TV
/Arts & Entertainment/Visual Art & Design,/Recreation/Art & Design
/Arts & Entertainment/Visual Art & Design/Architecture,/Recreation/Architecture
/Arts & Entertainment/Visual Art & Design/Art Museums & Galleries,"/Recreation/Museums, /Recreation/Galleries"
/Arts & Entertainment/Visual Art & Design/Design,/Recreation/Design
/Arts & Entertainment/Visual Art & Design/Painting,/Recreation/Painting
/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,/Recreation/Photography
,
,
/Home & Garden,/House
/Home & Garden/Bed & Bath,/House
/Home & Garden/Bed & Bath/Bathroom,/House
/Home & Garden/Domestic Services,/House/Cleaning
/Home & Garden/Domestic Services/Cleaning Services,/House/Cleaning
/Home & Garden/Gardening & Landscaping,"/House/Gardening, /House/Landscaping"
/Home & Garden/Home & Interior Decor,/House
/Home & Garden/Home Appliances,/Products/Appliances
/Home & Garden/Home Furnishings,/House
/Home & Garden/Home Furnishings/Curtains & Window Treatments,"/House, /Products/Curtains & Window Treatments"
/Home & Garden/Home Furnishings/Kitchen & Dining Furniture,"/House, /Products/Furniture"
/Home & Garden/Home Furnishings/Lamps & Lighting,/Products/Lighting
/Home & Garden/Home Furnishings/Living Room Furniture,"/House, /Products/Furniture"
/Home & Garden/Home Furnishings/Rugs & Carpets,"/House, /Products/Rugs"
/Home & Garden/Home Improvement,/House/Home Improvement
/Home & Garden/Home Improvement/Construction & Power Tools,/Products/Power Tools
/Home & Garden/Home Improvement/Doors & Windows,"/House/Doors, /House/Windows"
/Home & Garden/Home Improvement/Flooring,/House/Flooring
/Home & Garden/Home Improvement/House Painting & Finishing,/House/Painting
/Home & Garden/Home Improvement/Plumbing,/House/Plumbing
/Home & Garden/Home Safety & Security,/House/Security
/Home & Garden/Home Storage & Shelving,/House
"/Home & Garden/Home Swimming Pools, Saunas & Spas","/House/Swimming Pools, /House/Saunas"
/Home & Garden/HVAC & Climate Control,/House/HVAC
/Home & Garden/HVAC & Climate Control/Fireplaces & Stoves,"/House/Fireplaces, /House/Stoves"
/Home & Garden/Kitchen & Dining,/House
/Home & Garden/Kitchen & Dining/Cookware & Diningware,"/Products/Cookware, /Products/Diningware"
/Home & Garden/Kitchen & Dining/Major Kitchen Appliances,/Products/Kitchen Appliances
/Home & Garden/Kitchen & Dining/Small Kitchen Appliances,/Products/Kitchen Appliances
/Home & Garden/Laundry,/House
/Home & Garden/Laundry/Washers & Dryers,/Products/Appliances
/Home & Garden/Nursery & Playroom,/House
/Home & Garden/Pest Control,/House/Pest Control
/Home & Garden/Yard & Patio,/House/Yard
/Home & Garden/Yard & Patio/Lawn Mowers,/Products/Lawn Mowers
,
,
/Internet & Telecom,/Products/Communication
/Internet & Telecom/Communications Equipment,/Products/Communication
/Internet & Telecom/Communications Equipment/Radio Equipment,/Products/Communication
/Internet & Telecom/Email & Messaging,/Work/Email & Messaging
/Internet & Telecom/Email & Messaging/Text & Instant Messaging,/Work/Email & Messaging
/Internet & Telecom/Email & Messaging/Voice & Video Chat,/Work/Email & Messaging
/Internet & Telecom/Mobile & Wireless,/Products/Mobile & Wireless
/Internet & Telecom/Mobile & Wireless/Mobile & Wireless Accessories,/Products/Mobile & Wireless
/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,/Products/Mobile & Wireless
/Internet & Telecom/Mobile & Wireless/Mobile Phones,/Products/Mobile Phones
/Internet & Telecom/Service Providers,/Products/Communication
/Internet & Telecom/Service Providers/Cable & Satellite Providers,/Products/Cable & Satellite
/Internet & Telecom/Web Services,/Work/Web Services
/Internet & Telecom/Web Services/Affiliate Programs,/Work/Affiliate Programs
/Internet & Telecom/Web Services/Web Design & Development,/Work/Web Design & Development
,
,
/Autos & Vehicles,/Cars
/Autos & Vehicles/Bicycles & Accessories,/Products/Bikes
/Autos & Vehicles/Bicycles & Accessories/Bike Parts & Repair,"/Recreation/Bike Repair, /Products/Bike Parts"
/Autos & Vehicles/Bicycles & Accessories/BMX Bikes,/Products/Bikes
/Autos & Vehicles/Boats & Watercraft,/Products/Boats
/Autos & Vehicles/Campers & RVs,"/Products/Campers & RVs, /Cars/Campers & RVs"
/Autos & Vehicles/Classic Vehicles,/Cars/Classic Vehicles
/Autos & Vehicles/Commercial Vehicles/Cargo Trucks & Trailers,"/Cars/Cargo Trucks, /Cars/Trailers"
/Autos & Vehicles/Motor Vehicles (By Type),/Cars
/Autos & Vehicles/Motor Vehicles (By Type)/Hybrid & Alternative Vehicles,/Cars/Hybrid & Alternative
/Autos & Vehicles/Motor Vehicles (By Type)/Motorcycles,/Cars/Motorcycles
/Autos & Vehicles/Motor Vehicles (By Type)/Off-Road Vehicles,/Cars/Off-Road
/Autos & Vehicles/Motor Vehicles (By Type)/Trucks & SUVs,"/Cars/Trucks, /Cars/SUVs"
/Autos & Vehicles/Vehicle Codes & Driving Laws,/Cars/Licensing & Registration
/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration,/Cars/Licensing & Registration
/Autos & Vehicles/Vehicle Parts & Services,"/Cars/Parts, /Cars/Services"
/Autos & Vehicles/Vehicle Parts & Services/Gas Prices & Vehicle Fueling,"/Cars/Parts, /Cars/Services"
/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories,"/Cars/Parts, /Cars/Services"
/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance,"/Cars/Parts, /Cars/Services"
/Autos & Vehicles/Vehicle Shopping,/Cars/Shopping
/Autos & Vehicles/Vehicle Shopping/Used Vehicles,/Cars/Shopping
/Autos & Vehicles/Vehicle Shows,/Cars/Shopping
,
,
/Jobs & Education,"/Work, /Education"
/Jobs & Education/Education,/Education
/Jobs & Education/Education/Colleges & Universities,/Education/College
/Jobs & Education/Education/Distance Learning,/Education/Distance Learning
/Jobs & Education/Education/Homeschooling,/Education/Homeschooling
/Jobs & Education/Education/Primary & Secondary Schooling (K-12),/Education/K-12
/Jobs & Education/Education/Standardized & Admissions Tests,/Education/Testing
/Jobs & Education/Education/Teaching & Classroom Resources,/Education/Teaching Resources
/Jobs & Education/Education/Training & Certification,/Education/Training & Certification
/Jobs & Education/Education/Vocational & Continuing Education,"/Education/Vocational, /Education/Continuing"
/Jobs & Education/Jobs,/Work/Jobs
/Jobs & Education/Jobs/Career Resources & Planning,/Work/Career Resources
/Jobs & Education/Jobs/Job Listings,/Work/Job Listings
/Jobs & Education/Jobs/Resumes & Portfolios,/Work/Resumes
,
,
/Law & Government,/Other/Government
/Law & Government/Government,/Other/Government
/Law & Government/Government/Courts & Judiciary,/Other/Government
/Law & Government/Government/Visa & Immigration,/Other/Visa & Immigration
/Law & Government/Legal,/Other/Legal
/Law & Government/Legal/Bankruptcy,/Finance/Bankruptcy
/Law & Government/Legal/Legal Education,/Education/Legal
/Law & Government/Legal/Legal Services,/Other/Legal Services
/Law & Government/Military,/Other/Military
/Law & Government/Public Safety,/Other/Public Safety
/Law & Government/Public Safety/Crime & Justice,/Other/Public Safety
/Law & Government/Public Safety/Emergency Services,/Other/Emergency Services
/Law & Government/Public Safety/Law Enforcement,/Other/Public Safety
/Law & Government/Public Safety/Security Products & Services,/Products/Security
/Law & Government/Social Services,/Family/Social Services
,
,
/Beauty & Fitness,/Health
/Beauty & Fitness/Beauty Pageants,/Recreation/Beauty Pageants
/Beauty & Fitness/Body Art,/Health/Body Art
/Beauty & Fitness/Cosmetic Procedures,/Health/Cosmetic Procedures
/Beauty & Fitness/Cosmetic Procedures/Cosmetic Surgery,/Health/Cosmetic Procedures
/Beauty & Fitness/Cosmetology & Beauty Professionals,/Health/Beauty Professionals
/Beauty & Fitness/Face & Body Care,/Health/Face & Body
/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries,/Health/Hygiene
/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics,/Health/Make-Up
/Beauty & Fitness/Face & Body Care/Perfumes & Fragrances,/Health/Perfumes & Fragrances
/Beauty & Fitness/Face & Body Care/Skin & Nail Care,/Health/Skin & Nails
/Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal,/Health/Hair Removal
/Beauty & Fitness/Fashion & Style,/Products/Fashion & Style
/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,/Products/Fashion & Style
/Beauty & Fitness/Fitness,"/Health/Fitness, /Recreation/Sports"
/Beauty & Fitness/Hair Care,/Health/Hair Care
/Beauty & Fitness/Hair Care/Hair Loss,/Health/Hair Loss
/Beauty & Fitness/Spas & Beauty Services,/Health/Spas
/Beauty & Fitness/Spas & Beauty Services/Massage Therapy,/Health/Massage
/Beauty & Fitness/Weight Loss,/Health/Weight Loss
,
,
/News,/Other/News
/News/Business News,/Other/News
/News/Business News/Company News,/Other/News
/News/Business News/Financial Markets News,/Other/News
/News/Gossip & Tabloid News/Scandals & Investigations,/Other/News
/News/Health News,/Other/News
/News/Politics,/Other/News
/News/Sports News,/Other/News
/News/Weather,/Other/News
,
,
/Books & Literature,/Recreation/Books
/Books & Literature/Children's Literature,/Recreation/Books
/Books & Literature/E-Books,/Recreation/Books
/Books & Literature/Fan Fiction,/Recreation/Books
/Books & Literature/Literary Classics,/Recreation/Books
/Books & Literature/Poetry,/Recreation/Books
/Books & Literature/Writers Resources,/Work/Writing Resources
,
,
/Online Communities,/Recreation/Online Communities
/Online Communities/Blogging Resources & Services,/Recreation/Blogging
/Online Communities/Dating & Personals,/Recreation/Online Dating
/Online Communities/Dating & Personals/Matrimonial Services,/Recreation/Online Dating
/Online Communities/Dating & Personals/Personals,/Recreation/Online Dating
/Online Communities/Dating & Personals/Photo Rating Sites,/Recreation/Online Dating
/Online Communities/File Sharing & Hosting,/Work/Hosting Services
/Online Communities/Online Goodies,/Recreation/Online Communities
/Online Communities/Online Goodies/Clip Art & Animated GIFs,"/Work/Clip Art, /Recreation/Clip Art"
"/Online Communities/Online Goodies/Skins, Themes & Wallpapers",/Work/Skins & Wallpapers
/Online Communities/Online Goodies/Social Network Apps & Add-Ons,/Recreation/Social Networking
/Online Communities/Photo & Video Sharing,/Recreation/Photo Sharing
/Online Communities/Photo & Video Sharing/Photo & Image Sharing,/Recreation/Photo Sharing
/Online Communities/Social Networks,/Recreation/Social Networking
/Online Communities/Virtual Worlds,/Recreation/Virtual Reality
,
,
/Business & Industrial,/Work
/Business & Industrial/Advertising & Marketing/Public Relations,/Work/Public Relations
/Business & Industrial/Aerospace & Defense/Space Technology,/Work/Aerospace & Defense
/Business & Industrial/Agriculture & Forestry,/Work/Agriculture & Foresty
/Business & Industrial/Agriculture & Forestry/Agricultural Equipment,/Work/Agriculture & Foresty
/Business & Industrial/Agriculture & Forestry/Forestry,/Work/Agriculture & Foresty
/Business & Industrial/Agriculture & Forestry/Livestock,/Work/Agriculture & Foresty
/Business & Industrial/Automotive Industry,/Work/Automotive
/Business & Industrial/Business Education,/Education/Business
/Business & Industrial/Business Finance,/Finance/Business Finance
/Business & Industrial/Business Finance/Venture Capital,/Finance/Venture Capital
/Business & Industrial/Business Operations,/Work/Business Operations
/Business & Industrial/Business Operations/Business Plans & Presentations,/Work/Business Operations
/Business & Industrial/Business Operations/Management,/Work/Business Operations
/Business & Industrial/Business Services,/Work/Services
/Business & Industrial/Business Services/Consulting,/Work/Consulting
/Business & Industrial/Business Services/Corporate Events,"/Work/Corporate Events, /Events/Corporate Events"
/Business & Industrial/Business Services/E-Commerce Services,/Work/E-Commerce
/Business & Industrial/Business Services/Fire & Security Services,/Work/Fire & Security
/Business & Industrial/Business Services/Office Services,/Work/Services
/Business & Industrial/Business Services/Office Supplies,/Work/Office Supplies
/Business & Industrial/Business Services/Writing & Editing Services,/Work/Writing Services
/Business & Industrial/Chemicals Industry,/Work/Chemicals Industry
/Business & Industrial/Chemicals Industry/Cleaning Agents,/Work/Chemicals Industry
/Business & Industrial/Chemicals Industry/Plastics & Polymers,/Work/Chemicals Industry
/Business & Industrial/Construction & Maintenance,/Work/Construction
/Business & Industrial/Construction & Maintenance/Building Materials & Supplies,/Products/Building Supplies
/Business & Industrial/Energy & Utilities,/Work/Energy & Utilities
/Business & Industrial/Energy & Utilities/Electricity,/Work/Energy & Utilities
/Business & Industrial/Energy & Utilities/Oil & Gas,/Work/Energy & Utilities
/Business & Industrial/Energy & Utilities/Renewable & Alternative Energy,/Work/Energy & Utilities
/Business & Industrial/Hospitality Industry,/Work/Hospitality
/Business & Industrial/Hospitality Industry/Event Planning,/Work/Hospitality
/Business & Industrial/Hospitality Industry/Food Service,/Work/Hospitality
/Business & Industrial/Industrial Materials & Equipment,"/Work/Industrial Equipment, /Products/Industrial Equipment"
/Business & Industrial/Industrial Materials & Equipment/Heavy Machinery,"/Work/Industrial Equipment, /Products/Industrial Equipment"
/Business & Industrial/Manufacturing,/Work/Manufacturing
/Business & Industrial/Metals & Mining,/Work/Mining
/Business & Industrial/Metals & Mining/Precious Metals,/Work/Mining
/Business & Industrial/Pharmaceuticals & Biotech,/Work/Pharmaceuticals
/Business & Industrial/Printing & Publishing,/Work/Printing & Publishing
/Business & Industrial/Retail Trade,/Work/Retail
/Business & Industrial/Retail Trade/Retail Equipment & Technology,/Work/Retail
/Business & Industrial/Small Business/MLM & Business Opportunities,/Work
/Business & Industrial/Textiles & Nonwovens,/Work/Textiles
/Business & Industrial/Transportation & Logistics,/Work/Transportation & Logistics
/Business & Industrial/Transportation & Logistics/Freight & Trucking,/Work/Transportation & Logistics
/Business & Industrial/Transportation & Logistics/Mail & Package Delivery,/Work/Transportation & Logistics
/Business & Industrial/Transportation & Logistics/Maritime Transport,/Work/Transportation & Logistics
/Business & Industrial/Transportation & Logistics/Moving & Relocation,"/Work/Transportation & Logistics, /House/Moving"
/Business & Industrial/Transportation & Logistics/Packaging,/Work/Transportation & Logistics
/Business & Industrial/Transportation & Logistics/Parking,/Work/Transportation & Logistics
/Business & Industrial/Transportation & Logistics/Rail Transport,/Work/Transportation & Logistics
/Business & Industrial/Transportation & Logistics/Urban Transport,/Work/Transportation & Logistics
,
,
/People & Society,/Family
/People & Society/Family & Relationships,/Family
